,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,fco2_air,deltafco2,datenum,dayofyear,month,year,distance_to_shore
186,2007-05-31,267.36086837360256,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,11.566314821492968,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,268.37506267419786,267.36086837360256,,,,,,,,,,,,,,,,,,0.9962263882806206,,,9.999999999999998e-08,9.999999999999998e-08,4.985285250631086,54.52458636855392,,,13664.0,142,5,2007,140.1506092717922
187,2007-06-30,319.79050837553564,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,15.088355668095053,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,320.94863204630855,319.79050837553564,,,,,,,,,,,,,,,,,,0.9963923216761353,,,1.0000000000000001e-07,1.0000000000000001e-07,5.020131671211531,54.55206622516557,,,13694.0,142,6,2007,141.98306479916994
188,2007-07-31,356.5455229818463,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,16.033989185013517,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,357.82095801105254,356.54552298184626,,,,,,,,,,,,,,,,,,0.9964355703069353,,,1e-07,1e-07,4.938769409038239,54.43263383545771,,,13725.0,142,7,2007,132.3998077475998
189,2007-08-31,374.13770842105265,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,17.001471228070177,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,375.4599917699782,374.13770842105265,,,,,,,,,,,,,,,,,,0.9964786517224228,,,1e-07,1e-07,4.9688024561403505,54.52195438596492,,,13756.0,142,8,2007,140.34929724731768
190,2007-09-30,389.4506136472849,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,16.30277078327727,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,390.83881063247986,389.4506136472849,,,,,,,,,,,,,,,,,,0.9964475342177863,,,1e-07,1e-07,4.992004805382027,54.51227294569918,,,13786.0,142,9,2007,138.72613504159185
191,2007-10-31,390.03357915672234,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,14.438579156722357,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,391.45701359899874,390.03357915672234,,,,,,,,,,,,,,,,,,0.9963628828654485,,,1e-07,1e-07,4.993666268894192,54.54884327764518,,,13817.0,142,10,2007,142.36490961386082
192,2007-11-30,374.81798286290325,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,11.708364919354837,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,376.23469080371433,374.81798286290325,,,,,,,,,,,,,,,,,,0.9962334829625914,,,1e-07,1e-07,4.904203293010752,54.45421337365592,,,13847.0,142,11,2007,135.48052653643097
193,2007-12-31,362.8748519957612,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,8.94211409395973,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,364.2966558332987,362.8748519957612,,,,,,,,,,,,,,,,,,0.9960965633218473,,,1e-07,1e-07,4.986580713528788,54.595932885906045,,,13878.0,142,12,2007,147.3264536877458
194,2008-01-31,365.38087086092713,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.331177861873226,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,366.8432460587771,365.38087086092713,,,,,,,,,,,,,,,,,,0.996013907773656,,,1e-07,1e-07,4.773437559129612,54.567868495742665,,,13909.0,142,1,2008,150.45938143970426
195,2008-02-29,348.9619515151515,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,6.669566666666666,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,350.37078652775193,348.9619515151515,,,,,,,,,,,,,,,,,,0.995979285108863,,,9.999999999999998e-08,9.999999999999998e-08,4.994800000000001,54.55010606060606,,,13938.0,142,2,2008,142.4618146652128
