,Unnamed: 0,cruise,region,station,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,DIC,tco2f,tco2qc,TA,talkf,talkqc,fco2,fco2f,fco2temp,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,c13,c13f,c13qc,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf,datetime,distance_to_shore,datenum,dayofyear
30,30,661,1,11.0,1,2001,9,3,17.0,8.0,53.2,2.5,34.0,26.199,3.0,20.153,20.0,17.8,17.797,33.944,2,0,24.514,28.828,33.047,37.174,41.211,24.53370128352,242.72,2,0,-6.1749,2,1.7881,2,0,0.18565,2,1.9679,2,0,0.22474,2,0,2072.5,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 17:08:00,74.35110657882106,11568.71388888889,246
31,31,661,1,11.0,1,2001,9,3,17.0,8.0,53.2,2.5,34.0,26.199,1.0,26.199,26.0,17.8,17.796,33.944,2,0,24.514,28.828,33.047,37.174,41.212,24.5337516313924,242.31,2,0,-5.7599,2,1.7784,2,0,0.18565,2,1.9464,2,0,0.21497,2,0,2072.5,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 17:08:00,74.35110657882106,11568.71388888889,246
32,32,661,1,15.0,1,2001,9,10,8.0,30.0,53.797,2.7538,50.308,40.308,10.0,5.0381,5.0,14.8,14.799,34.668,2,0,25.761,30.122,34.388,38.56,42.64,25.7894068478953,251.7,2,0,-2.3491,2,0.41017,2,0,0.097659,2,3.128,2,0,0.24415,2,0,2103.6,2,0,2308.7,2,0,528.56,0,20.0,7.8706,0,8.0231,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 08:30:00,135.40301703553592,11575.354166666666,253
33,33,661,1,15.0,1,2001,9,10,8.0,30.0,53.797,2.7538,50.308,40.308,8.0,10.076,10.0,14.8,14.799,34.668,2,0,25.761,30.123,34.388,38.56,42.64,25.7894511706396,251.38,2,0,-2.0329,2,0.39064,2,0,0.097659,2,3.13,2,0,0.25391,2,0,2104.6,2,0,2307.7,2,0,534.16,0,20.0,7.8665,0,8.0188,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 08:30:00,135.40301703553592,11575.354166666666,253
34,34,661,1,15.0,1,2001,9,10,8.0,30.0,53.797,2.7538,50.308,40.308,6.0,20.153,20.0,14.8,14.797,34.668,2,0,25.761,30.123,34.388,38.56,42.641,25.789540174015,252.97,2,0,-3.6076,2,0.4004,2,0,0.097659,2,3.1456,2,0,0.24415,2,0,2109.4,2,0,2305.7,2,0,554.33,0,20.0,7.8525,0,8.004,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 08:30:00,135.40301703553592,11575.354166666666,253
35,35,661,1,15.0,1,2001,9,10,8.0,30.0,53.797,2.7538,50.308,40.308,3.0,30.23,30.0,14.8,14.796,34.668,2,0,25.761,30.123,34.389,38.561,42.641,25.7896296404961,268.66,2,0,-19.294,2,0.39064,2,0,0.097659,2,3.1417,2,0,0.24415,2,0,2105.5,2,0,2307.7,2,0,536.86,0,20.0,7.8646,0,8.0161,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 08:30:00,135.40301703553592,11575.354166666666,253
36,36,661,1,15.0,1,2001,9,10,8.0,30.0,53.797,2.7538,50.308,40.308,1.0,40.308,40.0,14.8,14.794,34.668,2,0,25.762,30.124,34.389,38.561,42.642,25.7897195793966,253.64,2,0,-4.2667,2,0.38087,2,0,0.097659,2,3.1466,2,0,0.23438,2,0,2107.5,2,0,2306.7,2,0,545.62,0,20.0,7.8585,0,8.0095,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 08:30:00,135.40301703553592,11575.354166666666,253
37,37,661,1,16.0,1,2001,9,10,13.0,30.0,53.801,3.9989,46.277,36.277,10.0,5.0381,5.0,15.7,15.699,34.696,2,0,25.583,29.928,34.178,38.334,42.4,25.5890820019025,247.43,2,0,-2.4875,2,0.0097657,2,0,0.029297,2,2.8516,2,0,0.20508,2,0,2093.8,2,0,2308.6,2,0,500.93,0,20.0,7.8902,0,8.0295,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 13:30:00,105.21566525989742,11575.5625,253
38,38,661,1,16.0,1,2001,9,10,13.0,30.0,53.801,3.9989,46.277,36.277,8.0,10.076,10.0,15.7,15.698,34.696,2,0,25.583,29.928,34.178,38.334,42.4,25.5890878625703,246.92,2,0,-1.9662,2,0.0,2,0,0.029297,2,2.8789,2,0,0.20508,2,0,2095.7,2,0,2307.6,2,0,508.64,0,20.0,7.8845,0,8.0234,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 13:30:00,105.21566525989742,11575.5625,253
39,39,661,1,16.0,1,2001,9,10,13.0,30.0,53.801,3.9989,46.277,36.277,6.0,20.153,20.0,15.7,15.697,34.696,2,0,25.583,29.929,34.178,38.335,42.4,25.5890999420524,247.91,2,0,-2.9549,2,0.019532,2,0,0.019532,2,2.8809,2,0,0.20508,2,0,2097.7,2,0,2314.5,2,0,497.78,0,20.0,7.8935,0,8.0323,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 13:30:00,105.21566525989742,11575.5625,253
40,40,661,1,16.0,1,2001,9,10,13.0,30.0,53.801,3.9989,46.277,36.277,3.0,27.207,27.0,15.7,15.696,34.696,2,0,25.584,29.929,34.179,38.335,42.401,25.5891086829771,247.34,2,0,-2.3735,2,0.0,2,0,0.019532,2,2.9063,2,0,0.19531,2,0,,9,0,2309.6,2,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-10 13:30:00,105.21566525989742,11575.5625,253
