,Unnamed: 0,Unnamed: 0.1,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,distance_to_shore,datenum,dayofyear,month,year
25,25,177,2006-08-31,370.8926941064639,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.58147826086957,14.936576243980737,0.0,0.0,410.729157515528,10161.589243780929,67.50881542396947,0.0,0.0,27897.80147576334,0.0,0.0,83.14462618,0.0,0.0,364.6062147951862,363.2951407863936,13.506764419021362,370.8926941064638,0.0376481970085711,1.1449960326755237e-06,7.38755947170239e-10,2.3478733141060206e-14,1.907769521509082e-09,0.1461698381060487,0.0028292990458811,0.0247618742134837,9.001350013361744e-07,9.551419808055031e-10,2.7254161258005606e-10,2.535952082703476e-10,2.1404528549705655e-07,4.251259029171047e-07,6.624947733978118e-07,0.9963856275682672,0.983538478555849,0.7510629428671857,1e-07,1e-07,4.885844831460674,54.581983146067415,148.7188957900791,13391.0,243,8,2006
26,26,182,2007-01-31,388.0608863075658,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,8.918753700657895,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,388.06088630756574,,,,,,,,,,,,,,,,0.9960954288826834,,,1e-07,1e-07,5.072176398026316,54.585112253289466,144.04214260020575,13544.0,31,1,2007
27,27,183,2007-02-28,389.607178136646,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.30378198757764,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,389.607178136646,,,,,,,,,,,,,,,,0.9960124987574188,,,1e-07,1e-07,5.019031055900621,54.41707639751553,128.44340519589616,13572.0,59,2,2007
28,28,184,2007-03-31,390.6474285914834,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,6.882387459054749,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,390.6474285914834,,,,,,,,,,,,,,,,0.9959903846062582,,,1e-07,1e-07,4.980760879737951,54.49756153486196,137.5694266997627,13603.0,90,3,2007
29,29,185,2007-04-30,391.4576220475615,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,6.612241031841999,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,391.4576220475615,,,,,,,,,,,,,,,,0.9959762174818428,,,1.0000000000000001e-07,1.0000000000000001e-07,4.984614268440145,54.557210399032655,143.45613358324414,13633.0,120,4,2007
30,30,186,2007-05-31,392.0496160476018,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.914146411828344,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,392.0496160476018,,,,,,,,,,,,,,,,0.9960437462303396,,,9.999999999999998e-08,9.999999999999998e-08,4.985285250631086,54.52458636855392,140.1506092717922,13664.0,151,5,2007
31,31,187,2007-06-30,390.73332380210365,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,12.80798792364628,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,390.7333238021036,,,,,,,,,,,,,,,,0.996286248382596,,,1.0000000000000001e-07,1.0000000000000001e-07,5.020131671211531,54.55206622516557,141.98306479916994,13694.0,181,6,2007
32,32,188,2007-07-31,386.43163812282734,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,14.962950946311318,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,386.43163812282734,,,,,,,,,,,,,,,,0.9963868689790828,,,1e-07,1e-07,4.938769409038239,54.43263383545771,132.3998077475998,13725.0,212,7,2007
33,33,189,2007-08-31,380.76244484210525,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,16.572990526315788,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,380.76244484210525,,,,,,,,,,,,,,,,0.9964596338570446,,,1e-07,1e-07,4.968802456140351,54.52195438596492,140.34929724731768,13756.0,243,8,2007
34,34,190,2007-09-30,376.9666081210957,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,17.17628640076886,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,376.9666081210957,,,,,,,,,,,,,,,,0.9964864428645662,,,1e-07,1e-07,4.992004805382027,54.51227294569918,138.72613504159185,13786.0,273,9,2007
35,35,191,2007-10-31,379.0090285202864,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,16.310546937151948,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,379.0090285202864,,,,,,,,,,,,,,,,0.9964479276497494,,,1e-07,1e-07,4.993666268894192,54.54884327764518,142.36490961386082,13817.0,304,10,2007
36,36,192,2007-11-30,383.186768313172,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,13.741648521505375,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,383.186768313172,,,,,,,,,,,,,,,,0.9963301828011474,,,1e-07,1e-07,4.904203293010752,54.45421337365592,135.48052653643097,13847.0,334,11,2007
37,37,193,2007-12-31,387.29502193571176,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,11.057207700459202,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,387.29502193571176,,,,,,,,,,,,,,,,0.9962018851023352,,,1e-07,1e-07,4.986580713528788,54.595932885906045,147.3264536877458,13878.0,365,12,2007
38,38,194,2008-01-31,389.8408699148534,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.766667928098392,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,389.8408699148533,,,,,,,,,,,,,,,,0.9960346312654744,,,1e-07,1e-07,4.773437559129612,54.567868495742665,150.45938143970426,13909.0,31,1,2008
39,39,195,2008-02-29,391.5704584848485,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,4.564121212121212,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,391.5704584848485,,,,,,,,,,,,,,,,0.9958660706238416,,,9.999999999999998e-08,9.999999999999998e-08,4.994800000000001,54.55010606060606,142.4618146652128,13938.0,60,2,2008
40,40,196,2008-03-31,392.2894686964795,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.467712654614653,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,392.2894686964795,,,,,,,,,,,,,,,,0.9960187225402184,,,1e-07,1e-07,4.904860450364732,54.47971360608944,138.05494331315705,13969.0,91,3,2008
